user_id,item_id,rating
2102,1,5
2102,2,5
11248,3,5
11248,4,5
13339,5,4
13339,6,4
13339,7,1
13339,8,4
13339,9,4
13339,10,2
13339,11,5
13339,12,5
13339,13,3
13339,14,5
13339,15,1
13339,16,5
13339,17,1
13339,18,5
5683,19,5
5683,20,5
28629,21,5
28629,22,5
17640,8,5
17640,23,4
17640,24,1
17640,25,3
17640,26,4
17640,27,3
17640,28,2
17640,29,5
17640,30,4
17640,31,3
34730,32,3
34730,33,5
34730,34,4
34730,35,5
35219,36,4
35219,37,5
16845,38,4
16845,39,4
16845,8,3
16845,40,5
7987,41,5
7987,42,5
7987,43,5
7987,44,5
24366,45,5
24366,46,5
9968,8,5
9968,47,5
9968,48,3
9968,49,3
30218,8,5
30218,50,2
30218,51,5
1108,52,2
1108,53,5
33359,54,5
33359,55,4
18408,56,2
18408,57,4
18408,8,4
18408,58,2
1645,59,4
1645,60,4
1645,61,3
1645,62,4
1645,63,5
1645,64,5
1645,65,5
1645,66,4
1645,67,3
1645,68,5
1645,69,5
1645,70,4
1645,71,5
1645,72,4
1645,73,5
1645,74,5
1645,75,5
1645,76,4
28986,77,3
28986,78,4
28986,79,1
28986,80,1
28986,81,4
28986,82,4
22363,83,3
22363,8,5
14467,84,1
14467,85,1
34661,86,5
34661,87,5
34661,88,5
34661,89,5
34661,90,5
34661,91,3
34661,92,5
34661,93,5
34661,94,5
34661,95,5
34661,96,3
34661,97,5
34661,98,2
34661,99,5
34661,100,5
34661,101,5
34661,102,5
34661,103,5
34661,104,5
34661,105,5
34661,106,5
34661,107,5
34661,108,5
34661,109,4
24536,110,3
24536,111,5
33480,88,5
33480,112,5
6511,113,4
6511,114,4
6511,115,5
31984,116,5
31984,117,5
31984,118,5
31984,119,3
31984,120,5
31984,121,1
31984,122,5
31984,123,5
31984,124,5
35918,88,4
35918,125,5
34768,126,5
34768,127,5
34768,128,5
34768,129,4
34768,130,4
34768,68,5
34768,131,5
34768,40,5
34768,132,5
34768,133,5
34768,134,5
34768,135,5
34768,136,5
34768,137,5
34768,138,2
34768,139,5
34768,140,5
34768,141,5
34768,142,5
34768,143,5
34768,144,5
34768,145,4
34768,146,5
34768,147,4
34768,148,5
34768,149,5
34768,150,5
34768,151,5
34768,152,5
34768,153,5
34768,154,5
34768,155,5
34768,156,5
34768,157,5
34768,158,5
34768,24,5
34768,159,2
34768,160,5
34768,161,5
34768,162,1
34768,163,5
34768,164,4
34768,165,5
34768,166,5
34768,88,1
34768,167,5
34768,168,5
34768,169,4
34768,170,5
34768,171,4
34768,172,4
34768,173,3
34768,174,4
34768,175,5
34768,176,5
34768,177,4
34768,178,5
34768,179,5
34768,180,1
34768,181,5
34768,182,5
34768,183,4
34768,184,5
34768,185,3
34768,186,5
34768,187,2
15717,188,5
15717,88,2
15717,189,1
15717,190,1
15717,191,3
15717,192,5
15717,193,3
15717,194,2
4,195,5
4,196,4
4,197,5
4,88,5
27677,198,5
27677,199,4
6071,200,5
6071,201,5
27904,202,5
27904,203,5
27904,204,4
27904,205,2
27904,84,5
27904,206,2
27904,207,2
27904,208,4
27904,209,5
27904,210,5
27904,211,1
27904,198,5
27904,212,5
27904,213,5
27904,214,4
27904,215,5
27904,216,4
27904,217,5
27904,218,1
27904,219,4
24344,220,4
24344,221,5
37111,222,5
37111,223,4
15691,224,5
15691,225,5
27085,226,4
27085,227,5
27085,219,5
23433,228,3
23433,229,1
23433,219,4
30919,230,4
30919,231,5
27899,232,5
27899,233,5
2420,234,5
2420,233,5
35573,235,4
35573,236,2
35355,237,3
35355,238,5
32137,239,3
32137,240,4
32137,241,4
32137,242,5
32137,243,3
16582,244,5
16582,245,4
16582,246,4
16582,247,4
16582,248,4
16582,78,4
27026,249,5
27026,250,5
27026,251,1
27026,86,4
27026,252,5
27026,253,5
27026,233,4
27026,254,5
27026,255,5
27026,15,5
27026,256,5
27026,257,5
24215,258,4
